1. How did you learn about this study?;2. How old are you?;3. What is your height (in centimeters)?;What is your weight (in kilograms)?;5. What is your nationality?;6. What is your sex according to your ID card?;7. What gender do you identify with?;8. What is your highest level of education?;9. What is the size of the town/city you currently live in?;10. What is your average monthly income?;11. What is your sexual orientation?;12. What is your relationship status?
Connection;Age;Height;Weight;Nationality ;Sex;Gender;Education;Municipality;Income;Sexual Orientation;Relationship Status
From the internet, but not from a friend/acquaintance (e.g., social media).;29;168;65;Czech;Female;Female;University master's degree (Mgr., MgA., Ing., MUDr., RNDr., PhDr., PharmDr. etc.);City over 100 000 inhabitants;30,000-50,000 CZK/month;Heterosexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;20;164;61;Czech;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;up to 15,000 CZK/month;Heterosexual;Single (without a partner)
From the internet, but not from a friend/acquaintance (e.g., social media).;22;178;63;Slovak;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;up to 15,000 CZK/month;Heterosexual;Single (without a partner)
A friend/acquaintance sent me a link online;21;164;52;Czech;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;up to 15,000 CZK/month;Bisexual;Single (without a partner)
A friend/acquaintance sent me a link online;21;172;62;Czech;Female;Female;Secondary school with a high school diploma;Village up to 1000 inhabitants;up to 15,000 CZK/month;Heterosexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;24;180;68;Czech;Female;Female;Secondary school with a high school diploma;Village with 5001-20 000 inhabitants;up to 15,000 CZK/month;Homosexuální;Engaged
A friend/acquaintance sent me a link online;23;168;55;Czech;Female;Female;University bachelor's degree (Bc., BcA. degree);Village with 5001-20 000 inhabitants;up to 15,000 CZK/month;Heterosexual;Single (without a partner)
A friend/acquaintance sent me a link online;19;167;65;Czech;Female;Female;Secondary school with a high school diploma;Village with 5001-20 000 inhabitants;up to 15,000 CZK/month;Heterosexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;20;167;64;Czech;Female;Female;Secondary school with a high school diploma;Village with 1001-5000 inhabitants;up to 15,000 CZK/month;Bisexual;NeCommitted relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;27;159;50;Czech;Female;Female;University bachelor's degree (Bc., BcA. degree);City over 100 000 inhabitants;15,000-30,000 CZK/month;Heterosexual;Marriage/registered partnership
From the internet, but not from a friend/acquaintance (e.g., social media).;23;167;64;Czech;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;up to 15,000 CZK/month;Heterosexual;Committed relationship
